code,vowel,prec_sound,foll_sound,prec_boundary,post_boundary,lexical_category,voice,stressed_syllable,word,prec_word,foll_word
622,ih,b,g,x,x,adjective,modal,y,big,a,fresh
623,ih,t,n,word,x,function,creaky,y,in,sat,the
624,ih,m,d,x,x,noun,modal,y,middle,the,of
625,ih,b,g,x,x,adjective,modal,y,big,a,fresh
626,ih,t,n,word,x,function,creaky,y,in,sat,the
627,ih,m,d,x,x,noun,modal,y,middle,the,of
628,ih,b,g,x,x,adjective,modal,y,big,a,fresh
629,ih,t,n,word,x,function,creaky,y,in,sat,the
630,ih,m,d,x,x,noun,modal,y,middle,the,of
631,ih,b,g,x,x,adjective,modal,y,big,a,fresh
632,ih,t,n,word,x,function,creaky,y,in,sat,the
633,ih,m,d,x,x,noun,modal,y,middle,the,of
634,ih,b,g,x,x,adjective,modal,y,big,a,fresh
635,ih,t,n,word,x,function,creaky,y,in,sat,the
636,ih,m,d,x,x,noun,modal,y,middle,the,of
637,ih,b,g,x,x,adjective,modal,y,big,a,fresh
638,ih,t,n,word,x,function,creaky,y,in,sat,the
639,ih,m,d,x,x,noun,modal,y,middle,the,of
640,ih,b,g,x,x,adjective,modal,y,big,a,fresh
641,ih,t,n,word,x,function,creaky,y,in,sat,the
642,ih,m,d,x,x,noun,modal,y,middle,the,of
643,ih,b,g,x,x,adjective,modal,y,big,a,fresh
644,ih,t,n,word,x,function,creaky,y,in,sat,the
645,ih,m,d,x,x,noun,modal,y,middle,the,of
646,ih,b,g,x,x,adjective,modal,y,big,a,fresh
647,ih,t,n,word,x,function,creaky,y,in,sat,the
648,ih,m,d,x,x,noun,modal,y,middle,the,of
649,ih,b,g,x,x,adjective,modal,y,big,a,fresh
650,ih,t,n,word,x,function,creaky,y,in,sat,the
651,ih,m,d,x,x,noun,modal,y,middle,the,of
652,ih,b,g,x,x,adjective,modal,y,big,a,fresh
653,ih,t,n,word,x,function,creaky,y,in,sat,the
654,ih,m,d,x,x,noun,modal,y,middle,the,of
655,ih,b,g,x,x,adjective,modal,y,big,a,fresh
656,ih,t,n,word,x,function,creaky,y,in,sat,the
